n , size   , #sp     , SimpleRMQBucket , SimpleRMQSt , RangeList , AllPairs
1 , 191672 , 1382715 , 6.93663 , 39.6547 , 5871.28 , 377.26
2 , 195708 , 1304713 , 7.48038 , 41.5152 , 5492.21 , 346.824
3 , 142941 , 707947 , 4.74217 , 24.9208 , 2823.96 , 194.471
4 , 137257 , 968732 , 4.47322 , 24.3061 , 3845.14 , 263.965
5 , 179443 , 846592 , 6.2613 , 32.2215 , 3392.73 , 227.353
6 , 177631 , 906852 , 6.08389 , 30.9326 , 3579.86 , 236.025
7 , 191672 , 842686 , 6.6183 , 33.9754 , 3396.83 , 224.6
8 , 195708 , 925384 , 6.81985 , 34.9347 , 3765.08 , 245.193
9 , 142941 , 473063 , 4.84862 , 24.7822 , 1895.95 , 132.339
10 , 137257 , 545799 , 4.6304 , 23.8678 , 2195.7 , 145.992
11 , 179443 , 792811 , 6.34359 , 32.5091 , 3231.84 , 217.221
12 , 177631 , 710068 , 6.04967 , 31.5024 , 2898.5 , 186.591


