SerieID, Heuristic, Serie, t,    d,    ans,  av_time, min,  med,  max,  ends  

397.116
1, Mixed , 229875, 3     , 0.1   , 994   , 1.3   , 1.20  , 1.21  , 1.65  , -
1 , Mixed , 229875, 5     , 0.1   , 1280  , 1.5   , 1.47  , 1.47  , 1.60  , -
1 , Mixed , 229875, 7     , 0.2   , 1301  , 1.5   , 1.48  , 1.49  , 1.58  , -
1 , Mixed , 229875, 9     , 0.2   , 1153  , 1.4   , 1.36  , 1.38  , 1.45  , -
1 , Mixed , 229875, 11    , 0.2   , 953   , 1.3   , 1.19  , 1.27  , 1.40  , -
1 , Mixed , 229875, 13    , 0.3   , 715   , 1.0   , 0.97  , 0.98  , 1.09  , -
1 , Mixed , 229875, 15    , 0.4   , 438   , 0.8   , 0.80  , 0.80  , 0.85  , -
1 , Mixed , 229875, 17    , 0.4   , 301   , 0.7   , 0.72  , 0.72  , 0.75  , -
1 , Mixed , 229875, 19    , 0.5   , 186   , 0.6   , 0.65  , 0.65  , 0.66  , -
1 , Mixed , 229875, 21    , 0.6   , 82    , 0.6   , 0.58  , 0.58  , 0.59  , -
1 , Mixed , 229875, 23    , 0.7   , 31    , 0.6   , 0.56  , 0.57  , 0.58  , -
1 , Mixed , 229875, 25    , 0.9   , 25    , 0.6   , 0.55  , 0.56  , 0.60  , -
1 , Mixed , 229875, 27    , 1.1   , 0     , 0.6   , 0.54  , 0.56  , 0.57  , -
1 , Mixed , 229875, 29    , 1.3   , 0     , 0.6   , 0.54  , 0.55  , 0.56  , -
1 , Mixed , 229875, 31    , 1.5   , 0     , 0.5   , 0.54  , 0.54  , 0.57  , -


373.16
2, Mixed , 229875, 3     , 0.1   , 2789  , 2.6   , 2.55  , 2.58  , 2.85  , -
2 , Mixed , 229875, 5     , 0.1   , 3269  , 3.0   , 2.97  , 2.97  , 3.02  , -
2 , Mixed , 229875, 7     , 0.2   , 2947  , 2.8   , 2.82  , 2.82  , 2.87  , -
2 , Mixed , 229875, 9     , 0.2   , 2481  , 2.5   , 2.44  , 2.46  , 2.53  , -
2 , Mixed , 229875, 11    , 0.2   , 1909  , 2.0   , 2.00  , 2.02  , 2.10  , -
2 , Mixed , 229875, 13    , 0.3   , 1395  , 1.5   , 1.49  , 1.51  , 1.62  , -
2 , Mixed , 229875, 15    , 0.4   , 887   , 1.1   , 1.06  , 1.07  , 1.18  , -
2 , Mixed , 229875, 17    , 0.4   , 581   , 0.9   , 0.86  , 0.86  , 0.90  , -
2 , Mixed , 229875, 19    , 0.5   , 326   , 0.7   , 0.71  , 0.72  , 0.74  , -
2 , Mixed , 229875, 21    , 0.6   , 192   , 0.6   , 0.65  , 0.65  , 0.66  , -
2 , Mixed , 229875, 23    , 0.7   , 105   , 0.6   , 0.62  , 0.62  , 0.62  , -
2 , Mixed , 229875, 25    , 0.9   , 79    , 0.6   , 0.60  , 0.60  , 0.63  , -
2 , Mixed , 229875, 27    , 1.1   , 58    , 0.6   , 0.60  , 0.60  , 0.61  , -
2 , Mixed , 229875, 29    , 1.3   , 55    , 0.6   , 0.59  , 0.60  , 0.60  , -
2 , Mixed , 229875, 31    , 1.5   , 22    , 0.6   , 0.56  , 0.57  , 0.59  , -


556.65
3, Mixed , 229875, 3     , 0.1   , 2583  , 2.6   , 2.57  , 2.59  , 2.79  , -
3 , Mixed , 229875, 5     , 0.1   , 3605  , 3.4   , 3.31  , 3.38  , 3.40  , -
3 , Mixed , 229875, 7     , 0.2   , 3656  , 3.5   , 3.43  , 3.45  , 3.50  , -
3 , Mixed , 229875, 9     , 0.2   , 3348  , 3.3   , 3.27  , 3.29  , 3.35  , -
3 , Mixed , 229875, 11    , 0.2   , 2951  , 3.1   , 2.98  , 3.03  , 3.20  , -
3 , Mixed , 229875, 13    , 0.3   , 2388  , 2.6   , 2.56  , 2.57  , 2.62  , -
3 , Mixed , 229875, 15    , 0.4   , 1813  , 2.1   , 2.06  , 2.07  , 2.14  , -
3 , Mixed , 229875, 17    , 0.4   , 1329  , 1.6   , 1.59  , 1.62  , 1.70  , -
3 , Mixed , 229875, 19    , 0.5   , 894   , 1.1   , 1.10  , 1.10  , 1.23  , -
3 , Mixed , 229875, 21    , 0.6   , 581   , 0.9   , 0.87  , 0.88  , 0.93  , -
3 , Mixed , 229875, 23    , 0.7   , 312   , 0.7   , 0.73  , 0.73  , 0.75  , -
3 , Mixed , 229875, 25    , 0.9   , 149   , 0.7   , 0.65  , 0.65  , 0.67  , -
3 , Mixed , 229875, 27    , 1.1   , 90    , 0.6   , 0.60  , 0.60  , 0.61  , -
3 , Mixed , 229875, 29    , 1.3   , 54    , 0.6   , 0.58  , 0.58  , 0.58  , -
3 , Mixed , 229875, 31    , 1.5   , 20    , 0.6   , 0.56  , 0.56  , 0.56  , -


427.45
4, Mixed , 229875, 3     , 0.1   , 2020  , 3.0   , 2.13  , 2.15  , 6.49  , -
4 , Mixed , 229875, 5     , 0.1   , 3033  , 3.0   , 2.91  , 2.97  , 3.02  , -
4 , Mixed , 229875, 7     , 0.2   , 3185  , 3.1   , 3.11  , 3.12  , 3.15  , -
4 , Mixed , 229875, 9     , 0.2   , 2891  , 2.9   , 2.91  , 2.93  , 2.97  , -
4 , Mixed , 229875, 11    , 0.2   , 2490  , 2.6   , 2.58  , 2.60  , 2.67  , -
4 , Mixed , 229875, 13    , 0.3   , 1943  , 2.2   , 2.13  , 2.17  , 2.23  , -
4 , Mixed , 229875, 15    , 0.4   , 1488  , 1.7   , 1.65  , 1.67  , 1.80  , -
