SerieID, Heuristic, Serie, t,    d,    ans,  av_time, min,  med,  max,  ends  

2064.98
1, RangeList with RMQBucket, 229875, 3     , 0.1   , 994   , 0.2   , 0.19  , 0.19  , 0.36  , 660
1 , RangeList with RMQBucket, 229875, 5     , 0.1   , 1280  , 0.3   , 0.24  , 0.24  , 0.31  , 697
1 , RangeList with RMQBucket, 229875, 7     , 0.2   , 1301  , 0.2   , 0.21  , 0.21  , 0.25  , 596
1 , RangeList with RMQBucket, 229875, 9     , 0.2   , 1153  , 0.2   , 0.18  , 0.18  , 0.21  , 479
1 , RangeList with RMQBucket, 229875, 11    , 0.2   , 953   , 0.2   , 0.14  , 0.14  , 0.18  , 349
1 , RangeList with RMQBucket, 229875, 13    , 0.3   , 715   , 0.1   , 0.10  , 0.10  , 0.12  , 260
1 , RangeList with RMQBucket, 229875, 15    , 0.4   , 438   , 0.1   , 0.07  , 0.07  , 0.08  , 153
1 , RangeList with RMQBucket, 229875, 17    , 0.4   , 301   , 0.0   , 0.04  , 0.04  , 0.05  , 84
1 , RangeList with RMQBucket, 229875, 19    , 0.5   , 186   , 0.0   , 0.03  , 0.03  , 0.03  , 48
1 , RangeList with RMQBucket, 229875, 21    , 0.6   , 82    , 0.0   , 0.01  , 0.01  , 0.02  , 17
1 , RangeList with RMQBucket, 229875, 23    , 0.7   , 31    , 0.0   , 0.01  , 0.01  , 0.01  , 3
1 , RangeList with RMQBucket, 229875, 25    , 0.9   , 25    , 0.0   , 0.00  , 0.00  , 0.01  , 1
1 , RangeList with RMQBucket, 229875, 27    , 1.1   , 0     , 0.0   , 0.00  , 0.00  , 0.00  , 0
1 , RangeList with RMQBucket, 229875, 29    , 1.3   , 0     , 0.0   , 0.00  , 0.00  , 0.00  , 0
1 , RangeList with RMQBucket, 229875, 31    , 1.5   , 0     , 0.0   , 0.00  , 0.00  , 0.00  , 0


1511.64
