SerieID, Heuristic, Serie, t,    d,    ans,  av_time, min,  med,  max,  ends  

10.1748
1, RMQH with RMQBucket, 229875, 3     , 0.1   , 994   , 6.7   , 6.68  , 6.70  , 6.74  , -
1 , RMQH with RMQBucket, 229875, 5     , 0.1   , 1280  , 8.5   , 8.52  , 8.53  , 8.54  , -
1 , RMQH with RMQBucket, 229875, 7     , 0.2   , 1301  , 8.8   , 8.77  , 8.80  , 8.81  , -
1 , RMQH with RMQBucket, 229875, 9     , 0.2   , 1153  , 11.3  , 11.26 , 11.26 , 11.29 , -
1 , RMQH with RMQBucket, 229875, 11    , 0.2   , 953   , 16.4  , 16.34 , 16.37 , 16.39 , -
1 , RMQH with RMQBucket, 229875, 13    , 0.3   , 715   , 19.9  , 19.81 , 19.83 , 19.98 , -
1 , RMQH with RMQBucket, 229875, 15    , 0.4   , 438   , 20.5  , 20.51 , 20.51 , 20.52 , -
1 , RMQH with RMQBucket, 229875, 17    , 0.4   , 301   , 23.0  , 22.93 , 22.95 , 22.97 , -
1 , RMQH with RMQBucket, 229875, 19    , 0.5   , 186   , 22.7  , 22.65 , 22.65 , 22.96 , -
1 , RMQH with RMQBucket, 229875, 21    , 0.6   , 82    , 22.4  , 22.36 , 22.39 , 22.43 , -
1 , RMQH with RMQBucket, 229875, 23    , 0.7   , 31    , 21.9  , 21.84 , 21.85 , 21.87 , -
1 , RMQH with RMQBucket, 229875, 25    , 0.9   , 25    , 23.9  , 23.94 , 23.94 , 23.96 , -
1 , RMQH with RMQBucket, 229875, 27    , 1.1   , 0     , 27.5  , 27.49 , 27.52 , 27.55 , -
1 , RMQH with RMQBucket, 229875, 29    , 1.3   , 0     , 30.1  , 30.14 , 30.14 , 30.15 , -
1 , RMQH with RMQBucket, 229875, 31    , 1.5   , 0     , 32.3  , 32.20 , 32.22 , 32.54 , -


7.28
2, RMQH with RMQBucket, 229875, 3     , 0.1   , 2789  , 6.7   , 6.65  , 6.68  , 6.69  , -
2 , RMQH with RMQBucket, 229875, 5     , 0.1   , 3269  , 8.6   , 8.57  , 8.57  , 8.57  , -
2 , RMQH with RMQBucket, 229875, 7     , 0.2   , 2947  , 8.8   , 8.80  , 8.83  , 8.84  , -
