SerieID, Heuristic, Serie, t,    d,    ans,  av_time, min,  med,  max,  ends  

67.8395
1, RMQH with RMQSt, 229875, 3     , 0.1   , 994   , 7.2   , 7.20  , 7.23  , 7.25  , -
1 , RMQH with RMQSt, 229875, 5     , 0.1   , 1280  , 19.0  , 18.99 , 19.01 , 19.02 , -
1 , RMQH with RMQSt, 229875, 7     , 0.2   , 1301  , 7.2   , 7.18  , 7.21  , 7.23  , -
1 , RMQH with RMQSt, 229875, 9     , 0.2   , 1153  , 18.6  , 18.59 , 18.62 , 18.62 , -
1 , RMQH with RMQSt, 229875, 11    , 0.2   , 953   , 18.5  , 18.49 , 18.52 , 18.53 , -
1 , RMQH with RMQSt, 229875, 13    , 0.3   , 715   , 18.4  , 18.42 , 18.43 , 18.48 , -
1 , RMQH with RMQSt, 229875, 15    , 0.4   , 438   , 7.2   , 7.18  , 7.21  , 7.21  , -
1 , RMQH with RMQSt, 229875, 17    , 0.4   , 301   , 18.4  , 18.36 , 18.39 , 18.43 , -
1 , RMQH with RMQSt, 229875, 19    , 0.5   , 186   , 18.4  , 18.33 , 18.34 , 18.63 , -
1 , RMQH with RMQSt, 229875, 21    , 0.6   , 82    , 18.3  , 18.24 , 18.27 , 18.27 , -
1 , RMQH with RMQSt, 229875, 23    , 0.7   , 31    , 18.2  , 18.19 , 18.22 , 18.23 , -
1 , RMQH with RMQSt, 229875, 25    , 0.9   , 25    , 18.2  , 18.15 , 18.18 , 18.19 , -
1 , RMQH with RMQSt, 229875, 27    , 1.1   , 0     , 18.2  , 18.12 , 18.15 , 18.16 , -
1 , RMQH with RMQSt, 229875, 29    , 1.3   , 0     , 18.1  , 18.11 , 18.14 , 18.18 , -
1 , RMQH with RMQSt, 229875, 31    , 1.5   , 0     , 7.3   , 7.22  , 7.26  , 7.26  , -


36.27
2, RMQH with RMQSt, 229875, 3     , 0.1   , 2789  , 7.3   , 7.23  , 7.27  , 7.28  , -
2 , RMQH with RMQSt, 229875, 5     , 0.1   , 3269  , 18.9  , 18.85 , 18.86 , 18.87 , -
2 , RMQH with RMQSt, 229875, 7     , 0.2   , 2947  , 7.2   , 7.20  , 7.24  , 7.24  , -
2 , RMQH with RMQSt, 229875, 9     , 0.2   , 2481  , 18.6  , 18.50 , 18.53 , 18.82 , -
2 , RMQH with RMQSt, 229875, 11    , 0.2   , 1909  , 18.5  , 18.46 , 18.48 , 18.48 , -
2 , RMQH with RMQSt, 229875, 13    , 0.3   , 1395  , 18.4  , 18.37 , 18.39 , 18.40 , -
2 , RMQH with RMQSt, 229875, 15    , 0.4   , 887   , 7.2   , 7.18  , 7.21  , 7.22  , -
2 , RMQH with RMQSt, 229875, 17    , 0.4   , 581   , 18.3  , 18.31 , 18.33 , 18.35 , -
2 , RMQH with RMQSt, 229875, 19    , 0.5   , 326   , 18.3  , 18.28 , 18.31 , 18.32 , -
2 , RMQH with RMQSt, 229875, 21    , 0.6   , 192   , 18.2  , 18.22 , 18.25 , 18.25 , -
2 , RMQH with RMQSt, 229875, 23    , 0.7   , 105   , 18.2  , 18.18 , 18.21 , 18.22 , -
2 , RMQH with RMQSt, 229875, 25    , 0.9   , 79    , 18.2  , 18.15 , 18.18 , 18.19 , -
2 , RMQH with RMQSt, 229875, 27    , 1.1   , 58    , 18.1  , 18.12 , 18.16 , 18.16 , -
2 , RMQH with RMQSt, 229875, 29    , 1.3   , 55    , 18.2  , 18.14 , 18.15 , 18.45 , -
2 , RMQH with RMQSt, 229875, 31    , 1.5   , 22    , 7.3   , 7.23  , 7.26  , 7.26  , -


37.12
3, RMQH with RMQSt, 229875, 3     , 0.1   , 2583  , 7.3   , 7.23  , 7.27  , 7.30  , -
3 , RMQH with RMQSt, 229875, 5     , 0.1   , 3605  , 19.2  , 19.17 , 19.19 , 19.19 , -
3 , RMQH with RMQSt, 229875, 7     , 0.2   , 3656  , 7.2   , 7.22  , 7.24  , 7.26  , -
3 , RMQH with RMQSt, 229875, 9     , 0.2   , 3348  , 18.8  , 18.76 , 18.76 , 18.78 , -
3 , RMQH with RMQSt, 229875, 11    , 0.2   , 2951  , 18.6  , 18.58 , 18.61 , 18.62 , -
3 , RMQH with RMQSt, 229875, 13    , 0.3   , 2388  , 18.5  , 18.48 , 18.49 , 18.49 , -
3 , RMQH with RMQSt, 229875, 15    , 0.4   , 1813  , 7.2   , 7.18  , 7.22  , 7.23  , -
3 , RMQH with RMQSt, 229875, 17    , 0.4   , 1329  , 18.5  , 18.48 , 18.49 , 18.52 , -
3 , RMQH with RMQSt, 229875, 19    , 0.5   , 894   , 18.4  , 18.37 , 18.39 , 18.70 , -
3 , RMQH with RMQSt, 229875, 21    , 0.6   , 581   , 18.3  , 18.28 , 18.31 , 18.32 , -
3 , RMQH with RMQSt, 229875, 23    , 0.7   , 312   , 18.2  , 18.22 , 18.25 , 18.26 , -
3 , RMQH with RMQSt, 229875, 25    , 0.9   , 149   , 18.2  , 18.18 , 18.21 , 18.22 , -
3 , RMQH with RMQSt, 229875, 27    , 1.1   , 90    , 18.2  , 18.15 , 18.18 , 18.19 , -
3 , RMQH with RMQSt, 229875, 29    , 1.3   , 54    , 18.2  , 18.16 , 18.17 , 18.18 , -
3 , RMQH with RMQSt, 229875, 31    , 1.5   , 20    , 7.3   , 7.23  , 7.26  , 7.27  , -


36.85
4, RMQH with RMQSt, 229875, 3     , 0.1   , 2020  , 7.2   , 7.22  , 7.25  , 7.26  , -
4 , RMQH with RMQSt, 229875, 5     , 0.1   , 3033  , 19.2  , 19.18 , 19.20 , 19.20 , -
4 , RMQH with RMQSt, 229875, 7     , 0.2   , 3185  , 7.2   , 7.21  , 7.24  , 7.25  , -
4 , RMQH with RMQSt, 229875, 9     , 0.2   , 2891  , 18.9  , 18.77 , 18.80 , 19.09 , -
4 , RMQH with RMQSt, 229875, 11    , 0.2   , 2490  , 18.6  , 18.58 , 18.61 , 18.62 , -
4 , RMQH with RMQSt, 229875, 13    , 0.3   , 1943  , 18.5  , 18.48 , 18.48 , 18.49 , -
4 , RMQH with RMQSt, 229875, 15    , 0.4   , 1488  , 7.2   , 7.18  , 7.22  , 7.22  , -
4 , RMQH with RMQSt, 229875, 17    , 0.4   , 1011  , 19.0  , 18.52 , 18.53 , 20.71 , -
4 , RMQH with RMQSt, 229875, 19    , 0.5   , 673   , 18.4  , 18.37 , 18.40 , 18.41 , -
4 , RMQH with RMQSt, 229875, 21    , 0.6   , 421   , 18.3  , 18.28 , 18.31 , 18.32 , -
4 , RMQH with RMQSt, 229875, 23    , 0.7   , 234   , 18.3  , 18.24 , 18.26 , 18.30 , -
4 , RMQH with RMQSt, 229875, 25    , 0.9   , 107   , 18.2  , 18.18 , 18.21 , 18.22 , -
4 , RMQH with RMQSt, 229875, 27    , 1.1   , 54    , 18.2  , 18.18 , 18.18 , 18.48 , -
4 , RMQH with RMQSt, 229875, 29    , 1.3   , 24    , 18.2  , 18.14 , 18.16 , 18.21 , -
4 , RMQH with RMQSt, 229875, 31    , 1.5   , 0     , 7.2   , 7.22  , 7.26  , 7.27  , -


36.28
5, RMQH with RMQSt, 229875, 3     , 0.1   , 361   , 7.2   , 7.18  , 7.22  , 7.23  , -
5 , RMQH with RMQSt, 229875, 5     , 0.1   , 450   , 18.7  , 18.69 , 18.72 , 18.72 , -
5 , RMQH with RMQSt, 229875, 7     , 0.2   , 412   , 7.2   , 7.17  , 7.20  , 7.22  , -
5 , RMQH with RMQSt, 229875, 9     , 0.2   , 353   , 18.4  , 18.43 , 18.43 , 18.47 , -
5 , RMQH with RMQSt, 229875, 11    , 0.2   , 280   , 18.4  , 18.37 , 18.39 , 18.40 , -
5 , RMQH with RMQSt, 229875, 13    , 0.3   , 159   , 18.3  , 18.29 , 18.32 , 18.32 , -
5 , RMQH with RMQSt, 229875, 15    , 0.4   , 93    , 7.2   , 7.17  , 7.20  , 7.21  , -
5 , RMQH with RMQSt, 229875, 17    , 0.4   , 74    , 18.3  , 18.26 , 18.29 , 18.31 , -
5 , RMQH with RMQSt, 229875, 19    , 0.5   , 42    , 18.3  , 18.26 , 18.26 , 18.61 , -
5 , RMQH with RMQSt, 229875, 21    , 0.6   , 19    , 18.2  , 18.17 , 18.20 , 18.21 , -
5 , RMQH with RMQSt, 229875, 23    , 0.7   , 11    , 18.2  , 18.14 , 18.17 , 18.17 , -
5 , RMQH with RMQSt, 229875, 25    , 0.9   , 1     , 18.1  , 18.11 , 18.14 , 18.16 , -
5 , RMQH with RMQSt, 229875, 27    , 1.1   , 0     , 18.1  , 18.12 , 18.13 , 18.13 , -
5 , RMQH with RMQSt, 229875, 29    , 1.3   , 0     , 18.1  , 18.08 , 18.10 , 18.14 , -
